title,type,country,genre,rating,release_year,date_added,description
Midnight in Cartagena,Movie,Colombia,Drama,8.1,2023,2025-01-12,A radio host helps a caller reconnect with her family.
Northern Signals,TV Show,Canada,Mystery,7.8,2024,2025-01-26,Researchers investigate signals from a remote station.
The Paper Bridge,Movie,Japan,Family,7.4,2021,2025-02-08,A young artist builds a friendship through paper messages.
Second Kitchen,TV Show,Mexico,Comedy,7.6,2022,2025-02-19,Siblings reopen their grandmother's neighborhood cafe.
Orbit of Blue,Movie,South Korea,Science Fiction,8.4,2025,2025-03-04,An engineer repairs a satellite before a major storm.
Harbor Lights,TV Show,United Kingdom,Drama,8.0,2020,2025-03-21,A coastal rescue team balances work and family.
Rhythm of the Market,Movie,Nigeria,Musical,7.7,2023,2025-04-02,A percussionist brings a market together through music.
Under the Jacaranda,TV Show,Argentina,Romance,7.9,2024,2025-04-17,Former classmates restore a community theater.
The Last Mapmaker,Movie,New Zealand,Adventure,7.5,2019,2025-05-05,An explorer follows clues to an uncharted valley.
Sunday Bicycle Club,TV Show,France,Comedy,6.9,2022,2025-05-22,Five neighbors discover friendship on weekly rides.
Salt and Memory,Movie,Chile,Documentary,8.3,2021,2025-06-06,Coastal families share stories of tradition and change.
Code for Tomorrow,TV Show,India,Drama,8.2,2025,2025-06-18,Students solve community problems with technology.
A Map of Rain,Movie,Brazil,Drama,7.3,2020,2025-07-03,A gardener maps a changing city through its rainfall.
Small Wonders Lab,TV Show,United States,Family,7.2,2023,2025-07-19,Young scientists test practical ideas at school.
The Quiet Violin,Movie,Italy,Drama,6.8,2018,2025-08-01,A musician returns home for one final performance.
Desert Frequency,TV Show,Morocco,Science Fiction,7.8,2024,2025-08-16,A student discovers a signal beneath the desert.
Letters from the Fjord,Movie,Norway,Romance,7.1,2022,2025-09-07,Two pen pals finally meet in a coastal village.
Green Line Detectives,TV Show,Germany,Mystery,8.0,2021,2025-09-25,Transit workers solve mysteries along a train route.
One More Sunrise,Movie,Philippines,Comedy,,2025,2025-10-11,A family races to prepare a surprise celebration.
River School,TV Show,Kenya,Documentary,7.6,2023,2025-10-28,Teachers bring lessons to communities along a river.
